Gare;Date/Heure;Catégorie;Nom de la Source;Annonce restranscrite par ECHO;Annonce réelle;Durée en sec;Nom du mp3
Aéroport Charles de Gaulle 1;Mon, 21 Aug 2023 12:40:07;SN;Direct;Voie 22, 24. Je vous informe que les prochain départ à destination de Paris se font de la voie. 21 je répète que les prochain départ à destination de Paris se font. On voit à la voie 21. Je répète que les prochain départ à destination de Paris se fera à la voie. Vanter une.;Voie 22, 24. Je vous informe que les prochain départ à destination de Paris se feront de la voie 21 je répète que les prochain départ à destination de Paris se feront à la voie 21. Je répète que les prochain départ à destination de Paris se fera à la voie 21.;18,7;0087271460-DCT-20230821-124007-1578596e-a41a-427c-8956-0e80826542e2.mp3
Aéroport Charles de Gaulle 1;Mon, 21 Aug 2023 18:59:38;SN;Direct;Madame, Monsieur à la voie 21, ce train desservira toutes les gares de son parcours jusqu'à Paris et au rapport au terminus homme massy-Palaiseau, voir 21 prochain départ en direction de Paris.;Madame, Monsieur à la voie 21, ce train desservira toutes les gares de son parcours jusqu'à Paris et au rapport aura pour terminus  massy-Palaiseau, voie 21 prochain départ en direction de Paris.;9,76;0087271460-DCT-20230821-185938-0d64480c-7daf-49c2-b1bd-618df8b92984.mp3
Aéroport Charles de Gaulle 1;Tue, 22 Aug 2023 07:06:22;SN;Direct;Pour le service pour le service essai de ******* à Sion pour le service pour les services, essai de sonorisation.;Pour le service pour le service essai de sonorisation pour le service pour les services, essai de sonorisation.;5,11;0087271460-DCT-20230822-070622-7466476e-204a-472e-97ac-7840d899e213.mp3
Aéroport Charles de Gaulle 1;Tue, 22 Aug 2023 08:44:18;SN;Direct;Voyageurs, je vous informe que votre prochain départ à destination de Paris se fera de la voie ***** de il sera sans arrêt jusqu'à Aulnay-sous-Bois pour les voyageurs souhaitant se rendre au texte à Villepinte, au à Sevran, un autre train se trouve actuellement à quai à la voie 21. Il desservira toutes les gares de son parcours.;Voyageurs, je vous informe que votre prochain départ à destination de Paris se fera de la voie 22, il sera sans arrêt jusqu'à Aulnay-sous-Bois pour les voyageurs souhaitant se rendre au texte à Villepinte, au à Sevran, un autre train se trouve actuellement à quai à la voie 21. Il desservira toutes les gares de son parcours.;20,1;0087271460-DCT-20230822-084418-915583d0-a883-411d-8f4c-6d4734ed1468.mp3
Aéroport Charles de Gaulle 2 TGV;Wed, 16 Aug 2023 13:28:39;SN;Direct;Les derniers voyageurs ouigo numéro 7842 à destination de Lille Flandres sont invités à se présenter très rapidement au dispositif de accueil embarquement situé à la porte haine pour accéder au train. Les dizaines, gentleman, the Border of you Go train number Seven ight for two Go into les Flandres. Will close in the fiu maman. Lash passengers a invité tous Go qui qui tous débordés get end.;Mesdames et Messieurs, Les derniers voyageurs ouigo numéro 7842 à destination de Lille Flandres sont invités à se présenter très rapidement au dispositif de accueil embarquement situé à la porte N pour accéder au train. Ladies and gentlemans, the Bording of you OUIGO train number 7842 Going to Lille Flandres. Will close in few moments. Last passengers are invited to go quickly to the bording  get end.;32,29;0087271494-VOX@NET_1-20230816-132839-1cf62133-cf84-44ff-a93d-9de95c9f6523.mp3
Aéroport Charles de Gaulle 2 TGV;Wed, 16 Aug 2023 13:47:54;SN;Direct;Votre attention, s'il vous plaît, l'embarquement pour votre train ouigo 7835 à destination de Marseille va fermer dans quelques instants. Ces derniers voyageurs sont invités à se présenter rapidement emporte haine pour accéder au train. Marseille. A une clé.;Votre attention, s'il vous plaît, l'embarquement pour votre train ouigo 7835 à destination de Marseille va fermer dans quelques instants. Ces derniers voyageurs sont invités à se présenter rapidement en porte N pour accéder au train. Marseille. ;26,28;0087271494-VOX@NET_1-20230816-134754-d2e87398-c55b-4ebf-beac-f9660b3bcc73.mp3
Aéroport Charles de Gaulle 1;Tue, 15 Aug 2023 17:30:55;SN;Direct;L'achat, Madame, Monsieur, Bonjour et bienvenue en gare. Il est 17 h 31 h pour moi de vous faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne mais je vous rappelle que jusqu'au 27 août panne n'est pas desservie jusqu au 20 août, le trafic est interrompu entre Fontaine Michalon, Mac Palaiseau et jusqu'au 25 août, le trafic est interrompu entre les repères sont pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France mobilités des site Transilien. . Comratp.fr SNCF connectant votre appli de Mobilités, je vous souhaite à tous et à toutes une agréable journée, un pour voyage.;Flash info trafic ligne B Madame, Monsieur, Bonjour et bienvenue en gare. Il est 17 h 31 l'heure pour moi de vous faire un point sur la circulation. Actuellement le trafic est fluide sur l'ensemble de la ligne mais je vous rappelle que jusqu'au 27 août Bagne n'est pas desservie jusqu au 20 août, le trafic est interrompu entre Fontaine Michalon, Massy Palaiseau et jusqu'au 25 août, le trafic est interrompu entre  Blois,Rennes et Robinson  pour suivre en temps réel l'évolution de votre ligne, je vous invite à consulter les applications Île-de-France mobilités des site Transilien.com, ratp.fr SNCF connectant votre appli de Mobilités, je vous souhaite à tous et à toutes une agréable journée, un pour voyage.;39,76;0087001479-DCT-20230815-173055-3b0525c8-f70b-4861-8004-59bad4c1368e.mp3
Paris Gare du Nord;Tue, 29 Aug 2023 18:45:01;SN;Direct;Madame, Monsieur, je en forme les voyageurs du thé vert ou de France s'est dite à destination de Amiens pour un départ à 19h07. Votre train au départ de la voie 8 votre TGV est en cours d'acheminement. Il va rentrer en gare dans quelques instants, vous pouvez déjà vous rendre sur la voie 8 tout en vous éloignant de la bordure du quai. Madame, Monsieur, je en forme les voyageurs du Bureau de France à destination de Beauvais pour un départ à 19h07. Votre TGV est annoncé au départ de la voie 20. Votre TGV est en cours d'acheminement, il va rentrer en gare dans quelques instants, vous pouvez déjà vous rendre sur la voie 20 tout en vous éloignant de la bordure du quai. Merci.;Madame, Monsieur, j'informe les voyageurs du TER de France T10 à destination de Amiens pour un départ à 19h07. Votre train au départ de la voie 8 votre TER est en cours d'acheminement. Il va rentrer en gare dans quelques instants, vous pouvez déjà vous rendre sur la voie 8 tout en vous éloignant de la bordure du quai. Madame, Monsieur, j'informe les voyageurs du TER de France à destination de Beauvais pour un départ à 19h07. Votre TGV est annoncé au départ de la voie 20. Votre TGV est en cours d'acheminement, il va rentrer en gare dans quelques instants, vous pouvez déjà vous rendre sur la voie 20 tout en vous éloignant de la bordure du quai. Merci.;41,66;0087271007-VOX@NET_GL1-20230829-184501-665ddb1b-fa35-4759-b2d3-006357540ceb.mp3
Paris Gare du Nord;Tue, 29 Aug 2023 18:51:43;SN;Direct;Votre TGV entre en gare pour votre sécurité, éloignez vous de la bordure du quai. Merci.;Votre TER entre en gare pour votre sécurité, éloignez vous de la bordure du quai. Merci.;7,83;0087271007-VOX@NET_GL1-20230829-185143-fc6d84ee-6ff3-4ba6-92f4-6b4026833733.mp3
Paris Gare du Nord;Tue, 29 Aug 2023 19:11:00;SN;Direct;Madame, Monsieur, je en forme les voyageurs du T 0 de France K 16 à destination de Abbeville pour un départ à 19h31. Votre TER est actuellement en cours de préparation au centre de maintenance. Je reviens vers vous dès que possible pour vous annoncer sa voie de départ.;Madame, Monsieur, j'informe les voyageurs du TER de France K 16 à destination de Abbeville pour un départ à 19h31. Votre TER est actuellement en cours de préparation au centre de maintenance. Je reviens vers vous dès que possible pour vous annoncer sa voie de départ.;17,03;0087271007-VOX@NET_GL1-20230829-191100-0c6c81c8-be1d-46b6-b54a-3214b3cf03fd.mp3
Paris Gare du Nord;Tue, 29 Aug 2023 19:17:49;SN;Direct;Je reviens auprès des voyageurs du thé vert ou de France K 16 à destination de Abbeville pour un départ initialement prévu à 19h31. Votre thé vert est annoncé au départ de la voie 17, votre votre TER ce soir à l'instant du centre de maintenance, il va se mettre avec la valise dans quelques instants, vous pouvez déjà vous rendre donc sur cette voie tout en vous éloignant de la bordure du quai.;Je reviens auprès des voyageurs du TER ou de France K 16 à destination de Abbeville pour un départ initialement prévu à 19h31. Votre TER est annoncé au départ de la voie 17,  votre TER ce soir à l'instant du centre de maintenance, il va se mettre à quai dans quelques instants, vous pouvez déjà vous rendre donc sur cette voie tout en vous éloignant de la bordure du quai.;19,84;0087271007-VOX@NET_GL1-20230829-191749-ebc39b2c-bfe1-4210-bbfc-b5e62e329f81.mp3
Paris Gare du Nord;Tue, 29 Aug 2023 19:22:01;SN;Direct;À la voie 8, votre TGV en rentrant, gare pour votre sécurité, éloignez vous de la bordure du quai. Merci.;À la voie 8, votre TER en rentrant, gare pour votre sécurité, éloignez vous de la bordure du quai. Merci.;8,12;0087271007-VOX@NET_GL1-20230829-192929-e875c32e-126b-46e4-9bef-78542f9ad1b2.mp3
Paris Gare du Nord;Tue, 29 Aug 2023 20:17:01;SN;Direct;À la voie 17, le train situées à l'avant du quai ne prend pas de voyageurs. Merci à tous les voyageurs de bien vouloir prendre place dans le train situé à l'accès. Okay merci.;À la voie 17, le train situées à l'avant du quai ne prend pas de voyageurs. Merci à tous les voyageurs de bien vouloir prendre place dans le train situé à l'accès au quai merci.;11,87;0087271007-VOX@NET_GL1-20230829-201701-99ed6ad0-2c47-4061-8419-c2f61d99f95d.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 09:46:20;SN;Direct;Le rossard 9019 à destination de Londres Saint Pancras, départ 10h13 et maintenant ? Prêt à l'embarquement à la voie numéro 5 ?;L'eurostar 9019 à destination de Londres Saint Pancras, départ 10h13 est maintenant prêt à l'embarquement à la voie numéro 5 ?;11,95;0087271007-VOX@NET_TM1-20230830-094620-8cc06362-6cd3-437f-aed9-87b6a6617d8f.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 13:00:56;SN;Direct;Allah vacances, votre attention s'il vous plaît, votre TER pour Boulogne, contrairement à ce qui a été affiché, partira depuis la voie 6. Voici ce pour le thé vert à destination de Boulogne.;À la voie 15, votre attention s'il vous plaît, votre TER pour Boulogne, contrairement à ce qui a été affiché, partira depuis la voie 6. Voici ce pour le TER à destination de Boulogne.;11,92;0087271007-VOX@NET_GL1-20230830-130056-276d04a9-0fd4-4f4f-9041-155df13fc581.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 17:23:15;SN;Direct;Voie 13, votre télé rentre en gare, Éloignez vous de la bordure du quai. Attendez l'arrêt complet du train avant de prendre place à bord voie 13, votre TER à destination de Saint Quentin en.;Voie 13, votre TER entre en gare, Éloignez vous de la bordure du quai. Attendez l'arrêt complet du train avant de prendre place à bord voie 13, votre TER à destination de Saint Quentin entre en gare.;10,83;0087271007-VOX@NET_GL1-20230830-172315-7d1ed838-cc07-4080-bb35-78c12302215a.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 18:31:30;SN;Direct;À la voiture de la voiture, Nous vous rappelons. Que descendre sur le voie et s'il te ment, interdit, descendre sur les voies est strictement interdit pour vous exposer à des poursuites. C'est par ailleurs un train peut entrer en gare à tout moment.;À la voie 15, à la voie 15, nous vous rappelons. Que descendre sur le voie et strictement interdit, descendre sur les voies est strictement interdit pour vous exposer à des poursuites. Et par ailleurs un train peut entrer en gare à tout moment.;13;0087271007-VOX@NET_GL2-20230830-183130-3b8bdcf5-a723-427d-8854-2921e635b971.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 18:39:04;SN;Direct;Annonce pour les voyageurs empruntant le TGV à destination de Amiens. Départ 19h07. Votre départ s'effectue depuis la voie numéro 8. Le départ du thé vert à destination de Amiens privé l'universel s'effectuera de la voie numéro 8. Votre sévérité, actuellement en cours d'acheminement vers la gare. Lors de son entrée en gare, merci de bien vous tenir éloignés de la bordure.;Annonce pour les voyageurs empruntant le TER à destination de Amiens. Départ 19h07. Votre départ s'effectue depuis la voie numéro 8. Le départ du TER à destination d'Amiens prévu à 19h07 s'effectuera de la voie numéro 8. Votre TER est actuellement en cours d'acheminement vers la gare. Lors de son entrée en gare, merci de bien vous tenir éloignés de la bordure.;21,95;0087271007-VOX@NET_GL1-20230830-183904-3d30a7e2-0ef2-428b-8653-4609d8ef67ab.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 18:57:12;SN;Direct;Annonce pour les Bretons le TGV à destination de Maubeuge. Départ prévu 19h19 votre salaire, stationnement en cours d'acheminement en provenance se des garages et va entrer en gare dans quelques minutes à la voie numéro 14. Le TGV de Maubeuge, départ prévu 19h19, va entrer en gare dans quelques minutes à la voie 14. Lors de votre arrivée sur la voie 14, merci de patienter en vous tenant éloigner de la bordure.;Annonce pour les voyageurs empreintant le TER  à destination de Maubeuge. Départ prévu 19h19 votre TER, est actuellement en   cours d'acheminement en provenance des garages et va entrer en gare dans quelques minutes à la voie numéro 14. Le TER de Maubeuge, départ prévu 19h19, va entrer en gare dans quelques minutes à la voie 14. Lors de votre arrivée sur la voie 14, merci de patienter en vous tenant éloigner de la bordure.;23,53;0087271007-VOX@NET_GL1-20230830-185712-7247d661-56f5-4c5d-90aa-1eb45fb50c56.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 19:00:07;SN;Direct;Voie numéro 14, votre TER à destination de Maubeuge, départ prévu 19h19 entre en gare. Pour votre sécurité, merci de vous éloigner de la bordure du quai. Et merci complet du train avant de prendre place à bord. Voie numéro 14, votre télé à destination de Maubeuge, départ 19h19. Entre en gare pour votre sécurité, éloignez vous de la bordure du thé. Attendez l'arrêt complet des trains. Avant de prendre place à bord.;Voie numéro 14, votre TER à destination de Maubeuge, départ prévu 19h19 entre en gare. Pour votre sécurité, merci de vous éloigner de la bordure du quai. Et merci d'attendre un arrêt complet des trains avant de prendre place à bord. Voie numéro 14, votre TER destination de Maubeuge, départ 19h19. Entre en gare pour votre sécurité, éloignez vous de la bordure du quai. Attendez l'arrêt complet des trains. Avant de prendre place à bord.;30,09;0087271007-VOX@NET_GL1-20230830-190007-0eaf9d1f-fd44-45fd-b0be-f728cca6d8e2.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 19:16:24;SN;Direct;Annonce pour les voyageurs empruntant le thé vert, destination de Beauvais, départ 19h37 votre télé et actuellement en ligne entrera en gare dans quelques minutes à la voie numéro 20. Le TGV à destination de Beauvais, départ 19h37 entrera en gare dans quelques minutes à la voie 20. Lors de votre avis sur la voie 20, merci de patienter en vous donnant éloigner de la bordure.;Annonce pour les voyageurs empruntant le TER, destination de Beauvais, départ 19h37 votre TER et actuellement en ligne entrera en gare dans quelques minutes à la voie numéro 20. Le TER à destination de Beauvais, départ 19h37 entrera en gare dans quelques minutes à la voie 20. Lors de votre arrivée sur la voie 20, merci de patienter en vous donnant éloigner de la bordure.;19,83;0087271007-VOX@NET_GL1-20230830-191624-82bc5d1a-503b-485d-992e-69015e7fea41.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 19:21:20;SN;Direct;Voie numéro 8, votre TGV à destination de Compiègne, départ 19h37 entre en gare pour votre sécurité et le niveau de la bordure du quai. Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord voie 8, votre TER à destination de Compiègne entre en gare pour votre sécurité, éloignez vous de la bordure du quai et Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord.;Voie numéro 8, votre TER à destination de Compiègne, départ 19h37 entre en gare pour votre sécurité et le niveau de la bordure du quai. Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord voie 8, votre TER à destination de Compiègne entre en gare pour votre sécurité, éloignez vous de la bordure du quai et Attendez l'arrêt complet du train ainsi que la descente des voyageurs avant de prendre place à bord.;25,23;0087271007-VOX@NET_GL1-20230830-192120-a06ce468-512d-4d34-9559-3680a47d135f.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 19:44:59;SN;Direct;Annonce pôle est voyageurs à destination de Saint Juan chaussée les imprévus. 20h07, votre sévérité actuellement en ligne et entrera en gare dans quelques minutes à la voie numéro 21. le TER à destination de Saint Juan Chaussée départ prévu 20h07. On pourra en dire dans quelques minutes à la voie 21. Lors de votre arrivée sur la voie 21, merci de patienter vous tenant éloigner de la bordure du.;Annonce pour les voyageurs à destination de Saint Juan chaussée départ prévus 20h07, votre TER est actuellement en ligne et entrera en gare dans quelques minutes à la voie numéro 21. le TER à destination de Saint Juan Chaussée départ prévu 20h07. Entrera en gare dans quelques minutes à la voie 21. Lors de votre arrivée sur la voie 21, merci de patienter vous tenant éloigner de la bordure du quais.;22,37;0087271007-VOX@NET_GL1-20230830-194459-fe19cc16-5f38-423e-bd19-cdbaf381303a.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 12:07:55;SN;Direct;Madame, Monsieur le ou la propriétaire d'un vélo blanc. 18 est prié de récupérer son vélo de toute urgence. Le ou la propriétaire d'un vélo blanc et prié de récupérer son vélo de toute urgence face au bois. 17 18.;Madame, Monsieur le ou la propriétaire d'un vélo blanc. Laissé cela voie 18 est prié de récupérer son vélo de toute urgence. Le ou la propriétaire d'un vélo blanc et prié de récupérer son vélo de toute urgence face au voie 17 18.;18,97;0087271007-VOX@NET_GL1-20230830-120755-12845608-5476-4823-929d-44ba67f9c935.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 16:32:02;SN;Direct;S'il vous plaît, Nous vous rappelons que de traverser les voies est strictement interdite. La traversée les interdites, vous vous exposez à des poursuites. Par ailleurs, un train, puis entrer en gare ou entrer en mouvement à tout moment.;S'il vous plaît, Nous vous rappelons que la traverser des voies est strictement interdite. La traversée les interdites, vous vous exposez à des poursuites. Par ailleurs, un train, peu entrer en gare ou entrer en mouvement à tout moment.;13,87;0087271007-VOX@NET_GL1-20230830-163202-998db8b7-7d80-45c8-8294-f2c579a43a5e.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 17:23:15;SN;Direct;Voie 13, votre télé rentre en gare, Éloignez vous de la bordure du quai. Attendez l'arrêt complet du train avant de prendre place à bord voie 13, votre TER à destination de Saint Quentin en.;Voie 13, TER entre en gare, Éloignez vous de la bordure du quai. Attendez l'arrêt complet du train avant de prendre place à bord voie 13, votre TER à destination de Saint Quentin entre en gare;10,83;0087271007-VOX@NET_GL1-20230830-172315-7d1ed838-cc07-4080-bb35-78c12302215a.mp3
Paris Gare du Nord;Wed, 30 Aug 2023 17:54:06;SN;Direct;Je reviens vers les voyageurs à destination de Beauvais. Départ 18h07. Votre thé vert est maintenant en cours de préparation en gare et sera affichée dans quelques minutes. le TGV à destination de Beauvais départ 18h07 est en cours de préparation hier.;Je reviens vers les voyageurs à destination de Beauvais. Départ 18h07. Votre TER est maintenant en cours de préparation en gare et sera affichée dans quelques minutes. le TER à destination de Beauvais départ 18h07 est en cours de préparation hier.;13,3;0087271007-VOX@NET_GL1-20230830-175406-ed0e6443-63d5-403d-a444-29222afff7ec.mp3
Aéroport Charles de Gaulle 1;Thu, 31 Aug 2023 21:07:06;SPI;Direct;Madame Monsieur votre attention s il vous plaît je vous rappelle que suite à une procédure de à faire oublier à Roissy Charles de Gaulle un aucun train ne circule dans votre gare jusqu à 21h50 environ 2 se fait J invite tous les voyageurs encore hacker de se rendre vers les portes de sortie s il vous plaît;Madame Monsieur votre attention s il vous plaît je vous rappelle que suite à une procédure d'affaire oublier à Roissy Charles de Gaulle 1 aucun train ne circule dans votre gare jusqu à 21h50 environ de se fait J invite tous les voyageurs encore à quai de se rendre vers les portes de sortie s il vous plaît;19,94;0087001479-DCT-20230831-210705-5ce1b88d-fbcb-488f-854c-b44b94d49280.mp3
Aéroport Charles de Gaulle 1;Thu, 31 Aug 2023 21:15:48;SPI;Pré-enregistrées;Clash INFO trafic Bonsoir à tous je vous informe que le trafic est interrompu entre le parc des Expositions et le terminal 2 de l aéroport et ce dans les 2 sens de circulation Cela fait suite à une procédure de à faire oublier en gare du terminal un de l aéroport Leur de reprise est estimée à 21h50 Pour plus d informations rendez vous sur l appli Île de France Mobilités le site transilien comratp fr SNCF connecte ou votre appli de mobilités;Flash INFO trafic Bonsoir à tous je vous informe que le trafic est interrompu entre le parc des Expositions et le terminal 2 de l aéroport et ce dans les 2 sens de circulation Cela fait suite à une procédure d'affaire oublier en gare du terminal 1 de l aéroport Leur de reprise est estimée à 21h50 Pour plus d informations rendez vous sur l appli Île de France Mobilités le site transilien comratp fr SNCF connecte ou votre appli de mobilités;25,74;0087001479-PRE-20230831-211548-f9b2cc11-0b17-476b-931f-3e1ccc723457.mp3
Aéroport Charles de Gaulle 1;Fri, 01 Sep 2023 06:20:28;SPI;Pré-enregistrées;Flash infotrafic la ligne B Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Nous sommes le vendredi premier septembre nous allons faire un point sur la circulation et je vous informe que le trafic de Libé fortement perturbé Cela est dû à la prolongation des travaux de nuit en gare de Aulnay sous bois Prévoyez des allongement du temps Parcours des modifications de mission train voire des suppressions d émissions de train Vous pouvez bien sûr avoir davantage d informations Consultant l application Île de France Mobilités et site transilien comratp fr SNCF Connect Votre appli de Mobilités je vous souhaite une très bonne journée à tous;Flash infotrafic la ligne B Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Nous sommes le vendredi premier septembre nous allons faire un point sur la circulation et je vous informe que le trafic de Ligne B fortement perturbé Cela est dû à la prolongation des travaux de nuit en gare de Aulnay sous bois Prévoyez des allongement du temps Parcours des modifications de mission train voire des suppressions des missions de train Vous pouvez bien sûr avoir davantage d informations Consultant l application Île de France Mobilités et site transilien comratp fr SNCF Connect Votre appli de Mobilités je vous souhaite une très bonne journée à tous;33,89;0087001479-PRE-20230901-062028-26a6e163-462e-4f03-8cb1-45a7e4b58859.mp3
Aéroport Charles de Gaulle 1;Thu, 24 Aug 2023 11:33:47;SPI;Direct;Flash infotrafic ligne mais Madame Monsieur Bonjour et bienvenue encore idée Excusez moi je disais qu il est 11h33 l heure pour moi de vous faire un point sur la circulation Actuellement le trafic est fluide sur l ensemble de la ligne Au revoir jusqu au 25 août le trafic est interrompu entre dans l arène les Robinson et jusqu au 25 toutes bonne nuit n est pas desservir pour suivre en temps réel l évolution de votre ligne je vous invite à consulter les applications Île de France Mobilités liste de transfert comratp fr connaître votre appli de mobilités;Flash infotrafic ligne B  Madame Monsieur Bonjour et bienvenue encore idée Excusez moi je disais qu il est 11h33 l heure pour moi de vous faire un point sur la circulation Actuellement le trafic est fluide sur l ensemble de la ligne. En revanche jusqu au 25 août le trafic est interrompu entre dans l arène les Robinson et jusqu au 25 aout la ligne n est pas desservis pour suivre en temps réel l évolution de votre ligne je vous invite à consulter les applications Île de France Mobilités les sites ratp.com, sncf connect et vos appli de mobilités.;35,77;0087001479-DCT-20230824-113347-7cf5427c-221e-4240-b5b5-1f22b0ddc63a.mp3
Aéroport Charles de Gaulle 1;Fri, 25 Aug 2023 08:17:11;SPI;Pré-enregistrées;Info travaux RER B Sud jusqu au 25 août le trafic est interrompu entre Bourg La Reine et Repens toi Vous avez la possibilité d emprunter les différents bus de;Info travaux RER B Sud jusqu au 25 août le trafic est interrompu entre Bourg La Reine et Robinson. Vous avez la possibilité d emprunter les différents bus de;11,99;0087271023-PRE-20230825-081711-68d663ee-12ab-47a9-bbd4-f2c8ad4b188f.mp3
Aéroport Charles de Gaulle 1;Fri, 25 Aug 2023 19:03:16;SPI;Pré-enregistrées;Madame Monsieur je vous informe que la navette cdgval n est actuellement pas accessible en raison d une procédure de à faire oublier Merci d emprunter le RER B;Madame Monsieur je vous informe que la navette cdgval n est actuellement pas accessible en raison d une procédure d'affaire oublier Merci d emprunter le RER B;22,8;0087001479-PRE-20230825-190316-89b84730-1815-4a2b-ad6d-ca9ff8111394.mp3
Aéroport Charles de Gaulle 1;Tue, 29 Aug 2023 04:57:32;SPI;Direct;Mais sinon Bonjour votre attention s il vous plaît je vous informe que votre premier train destination de Robinson vient de quitter la gare de Roissy 2 premier train destination de Robinson vient de quitter la gare de Roissy de pour tout changement de quai pour votre sécurité je vous invite à utiliser les passagers à disposition dans votre gare Merci de votre écoute Excellente journée;Messieurs, dames, Bonjour votre attention s il vous plaît je vous informe que votre premier train destination de Robinson vient de quitter la gare de Roissy 2 premier train destination de Robinson vient de quitter la gare de Roissy 2 pour tout changement de quai pour votre sécurité je vous invite à utiliser les passages à disposition dans votre gare Merci de votre écoute Excellente journée;17,33;0087271460-DCT-20230829-045732-74a6c953-995b-4275-964a-f399dc3461ed.mp3
Aéroport Charles de Gaulle 1;Tue, 29 Aug 2023 05:31:58;SPI;Direct;Mais c est Un Bonjour votre attention s il vous plaît je vous informe que actuellement le trafic est interrompu entre Aulnay sous Bois Paris gare du Nord et ce dans les 2 sens de circulation suite à un tardive de travaux en gare du Bourget Le train concerné a commencé à recirculer donc j espère qu on va pouvoir reprendre les circulations d ici peu normalement Reprise estimée à 05h00 Je reviendrai vers vous pour vous donner un peu plus d informations Merci de votre écoute et excellente matinée;Messieurs, dames. Bonjour votre attention s il vous plaît je vous informe que actuellement le trafic est interrompu entre Aulnay sous Bois Paris gare du Nord et ce dans les 2 sens de circulation suite à un tardive de travaux en gare du Bourget Le train concerné a commencé à recirculer donc j espère qu on va pouvoir reprendre les circulations d ici peu normalement Reprise estimée à 05h00 Je reviendrai vers vous pour vous donner un peu plus d informations Merci de votre écoute et excellente matinée;26,21;0087001479-DCT-20230829-053158-b161b7de-a0c3-4c7e-81c2-4e758528bf8f.mp3
Aéroport Charles de Gaulle 1;Tue, 29 Aug 2023 07:01:55;SPI;Direct;Madame Monsieur Bonjour je m adresse aux voyageurs à destination de l aéroport Charles de Gaulle 2 Je vous informe que votre train se trouve actuellement à quai en gare de Sevran Beaudottes Il avait dans quelques minutes dans votre gare votre prochain départ à destination de l aéroport Charles de Gaulle de se trouve actuellement à quai en gare de Sevran Belote;Mesdames, Monsieurs, Bonjour je m adresse aux voyageurs à destination de l aéroport Charles de Gaulle 2 Je vous informe que votre train se trouve actuellement à quai en gare de Sevran Beaudottes Il arrive dans quelques minutes dans votre gare votre prochain départ à destination de l aéroport Charles de Gaulle de se trouve actuellement à quai en gare de Sevran Bedottes;15,5;0087271460-DCT-20230829-070155-ff628c59-3f62-4352-81e9-d77ff343b905.mp3
Aéroport Charles de Gaulle 1;Tue, 29 Aug 2023 07:30:18;SPI;Direct;Info trafic ligne B Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Il est 07h30 et nous allons faire un nouveau point sur la circulation vous informe que le trafic de lagny be ralenti sur l ensemble de la ligne celui à des travaux rendu un petit peu plus tard que prévu en gare du Bourget Vous voyez quelque allongement du temps de parcours des modifications de mission de train et éventuellement des suppressions d émissions de train Vous pouvez bien sûr refaire le point en consultant l application Île de France mobilités les site transilien comratp fr SNCF Connect ou votre applis mobilités Je vous souhaite une très bonne matinée à tous;Flash info trafic ligne B Bonjour à tous et bienvenue à tous ceux qui viennent de nous rejoindre Il est 07h30 et nous allons faire un nouveau point sur la circulation vous informe que le trafic de la ligne B est ralentie sur l ensemble de la ligne celui à des travaux rendu un petit peu plus tard que prévu en gare du Bourget Vous voyez quelque allongement du temps de parcours des modifications de mission de train et éventuellement des suppressions des missions de train Vous pouvez bien sûr faire le point en consultant l application Île de France mobilités les site transilien comratp fr SNCF Connect ou votre applis mobilités Je vous souhaite une très bonne matinée à tous;33,72;0087001479-DCT-20230829-073018-86ab5858-4613-4712-ad54-d109ac2f5f57.mp3
Aéroport Charles de Gaulle 1;Thu, 31 Aug 2023 08:02:45;SPI;Direct;Madame Monsieur Bonjour 08h02 et je reviens vers vous pour de amples informations concernant le signal d alarme tiré en gare de la plaine n as pas de France je vous informe que c était un malaise voyageur Cet incident est actuellement terminée les trains vont pouvoir reprendre leur marche;Madame Monsieur Bonjour 08h02 et je reviens vers vous pour de amples informations concernant le signal d alarme tiré en gare de la plaine stade de france je vous informe que c était un malaise voyageur Cet incident est actuellement terminée les trains vont pouvoir reprendre leur marche;17,52;0087001479-DCT-20230831-080245-5eaefcd2-3bbb-4c50-a075-a0fde90fb9d2.mp3
